id	name	xqid	latitude	longitude	country_id
116	San Miguel de Tucumán	TUC	-26.84090042	-65.10489655	10
117	San Rafael	AFA	-34.5882988	-68.40390015	10
118	San Salvador de Jujuy	JUJ	-24.39279938	-65.09780121	10
119	Santa Rosa	RSA	-36.5882988	-64.27570343	10
120	Santiago del Estero	SDE	-27.76555634	-64.30999756	10
121	Tandil	TDL	-37.23740005	-59.22790146	10
122	Tartagal	TTG	-22.6196003	-63.79370117	10
123	Trelew	REL	-43.2105	-65.2703	10
124	Ushuaia	USH	-54.8433	-68.2958	10
125	Viedma	VDM	-40.8692	-63.0004	10
126	Villa Gesell	VLG	-37.2354	-57.0292	10
127	Zapala	APZ	-38.9754982	-70.11360168	10
128	Ofu	OFU	-14.1843996	-169.6699982	11
129	Pago Pago	PPG	-14.33100033	-170.7100067	11
130	Graz	GRZ	46.99110031	15.43959999	12
131	Hohenems	HOH	47.38499832	9.699999809	12
132	Innsbruck	INN	47.2602005	11.34399986	12
133	Klagenfurt	KLU	46.64250183	14.33769989	12
134	Linz	LNZ	48.23320007	14.1875	12
135	Salzburg	SZG	47.79330063	13.00430012	12
136	Vienna	VIE	48.11029816	16.56970024	12
137	Abingdon	ABG	-17.61669922	143.1670074	13
138	Adelaide	ADL	-34.94499969	138.5310059	13
139	Afton Downs	AWN	-26.5333004	139.2669983	13
140	Agnew	AGW	-12.145108	142.149101	13
141	Albany	ALH	-34.94329834	117.8089981	13
142	Albury	ABX	-36.06779861	146.9579926	13
143	Alexandria	AXL	-19.06019974	136.7100067	13
144	Alice Springs	ASP	-23.80669975	133.9019928	13
145	Alpha	ABH	-23.64609909	146.5839996	13
146	Amata	AMT	-26.10829926	131.2070007	13
147	Ammaroo	AMX	-21.73830032	135.2420044	13
148	Andamooka	ADO	-30.43829918	137.1369934	13
149	Anthony Lagoon	AYL	-18.01807903	135.5350685	13
150	Aramac	AXC	-22.9666996	145.2420044	13
151	Ararat	ARY	-37.30939865	142.9889984	13
152	Argyle	GYL	-16.63689995	128.451004	13
153	Armidale	ARM	-30.52809906	151.6170044	13
154	Arrabury	AAB	-26.70000076	141.0500031	13
155	Augustus Downs	AUD	-18.51499939	139.878006	13
156	Aurukun	AUU	-13.35389996	141.720993	13
157	Austral Downs	AWP	-20.5	137.75	13
158	Auvergne	AVG	-15.69999981	130	13
159	Avalon	AVV	-38.03939819	144.4689941	13
160	Ayr	AYR	-19.58440018	147.3289948	13
161	Badu Island	BDD	-10.14999962	142.1734	13
162	Bairnsdale	BSJ	-37.88750076	147.5679932	13
163	Balcanoona	LCN	-30.53499985	139.3370056	13
164	Balgo Hill	BQW	-20.14830017	127.9729996	13
165	Ballina	BNK	-28.83390045	153.5619965	13
166	Balranald	BZD	-34.62360001	143.5780029	13
167	Bamaga	ABM	-10.95079994	142.4589996	13
168	Baniyala	BYX	-13.198051	136.226947	13
169	Barcaldine	BCI	-23.56529999	145.3070068	13
170	Barkly Downs	BKP	-20.49583333	138.4747222	13
171	Barrow Island	BWB	-20.86440086	115.4059982	13
172	Batavia Downs	BVW	-12.65	143.21666	13
173	Bathurst	BHS	-33.40940094	149.6519928	13
174	Bathurst Island	BRT	-11.76920033	130.6199951	13
175	Beagle Bay	BEE	-17.017066	122.646217	13
176	Bedford Downs	BDW	-17.2866993	127.4629974	13
